ICD_CODE,vocabulary_id,ICD_string,PheCode,Phenotype,category,category_string
482.41,ICD9CM,Methicillin susceptible pneumonia due to Staphylococcus aureus,ID_002.1,Staphylococcus aureus,01,Infections
482.42,ICD9CM,Methicillin resistant pneumonia due to Staphylococcus aureus,ID_002.1,Staphylococcus aureus,01,Infections
482.82,ICD9CM,Pneumonia due to escherichia coli [E. coli],ID_003,Escherichia coli,01,Infections
041.42,ICD9CM,Other specified Shiga toxin-producing Escherichia coli [E. coli] (STEC),ID_003,Escherichia coli,01,Infections
008.03,ICD9CM,Intestinal infection due to enteroinvasive E. coli,ID_003,Escherichia coli,01,Infections
008.01,ICD9CM,Intestinal infection due to enteropathogenic E. coli,ID_003,Escherichia coli,01,Infections
008.00,ICD9CM,Intestinal infection due to unspecified E. coli,ID_003,Escherichia coli,01,Infections
008.0,ICD9CM,Intestinal infection due to escherichia coli [E. coli],ID_003,Escherichia coli,01,Infections
008.02,ICD9CM,Intestinal infection due to enterotoxigenic E. coli,ID_003,Escherichia coli,01,Infections
008.09,ICD9CM,Other intestinal E. coli infections,ID_003,Escherichia coli,01,Infections
008.04,ICD9CM,Intestinal infection due to enterohemorrhagic E. coli,ID_003,Escherichia coli,01,Infections
038.42,ICD9CM,Septicemia due to escherichia coli [E. coli],ID_003,Escherichia coli,01,Infections
041.41,ICD9CM,Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157,ID_003,Escherichia coli,01,Infections
041.43,ICD9CM,"Shiga toxin-producing Escherichia coli [E. coli] (STEC), unspecified",ID_003,Escherichia coli,01,Infections
041.4,ICD9CM,Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site,ID_003,Escherichia coli,01,Infections
041.49,ICD9CM,Other and unspecified Escherichia coli [E. coli],ID_003,Escherichia coli,01,Infections
041.09,ICD9CM,Other Streptococcus infection in conditions classified elsewhere and of unspecified site,ID_004,Streptococcus,01,Infections
041.00,ICD9CM,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,ID_004,Streptococcus,01,Infections
041.0,ICD9CM,Streptococcus infection in conditions classified elsewhere and of unspecified site,ID_004,Streptococcus,01,Infections
034,ICD9CM,Streptococcal sore throat and scarlet fever,ID_004,Streptococcus,01,Infections
041.03,ICD9CM,Group C Streptococcus infection in conditions classified elsewhere and of unspecified site,ID_004,Streptococcus,01,Infections
038.0,ICD9CM,Streptococcal septicemia,ID_004,Streptococcus,01,Infections
041.05,ICD9CM,Group G Streptococcus infection in conditions classified elsewhere and of unspecified site,ID_004,Streptococcus,01,Infections
482.39,ICD9CM,Pneumonia due to other Streptococcus,ID_004,Streptococcus,01,Infections
034.0,ICD9CM,Streptococcal sore throat,ID_004,Streptococcus,01,Infections
320.2,ICD9CM,Streptococcal meningitis,ID_004,Streptococcus,01,Infections
482.30,ICD9CM,"Pneumonia due to Streptococcus, unspecified",ID_004,Streptococcus,01,Infections
482.3,ICD9CM,Pneumonia due to Streptococcus,ID_004,Streptococcus,01,Infections
035,ICD9CM,Erysipelas,ID_004,Streptococcus,01,Infections
320.1,ICD9CM,Pneumococcal meningitis,ID_004.1,Streptococcus pneumoniae,01,Infections
567.1,ICD9CM,Pneumococcal peritonitis,ID_004.1,Streptococcus pneumoniae,01,Infections
038.2,ICD9CM,Pneumococcal septicemia,ID_004.1,Streptococcus pneumoniae,01,Infections
481,ICD9CM,Pneumococcal pneumonia [streptococcus pneumoniae pneumonia],ID_004.1,Streptococcus pneumoniae,01,Infections
041.2,ICD9CM,Pneumococcus infection in conditions classified elsewhere and of unspecified site,ID_004.1,Streptococcus pneumoniae,01,Infections
041.01,ICD9CM,Group A Streptococcus infection in conditions classified elsewhere and of unspecified site,ID_004.2,Group A Streptococcus,01,Infections
482.31,ICD9CM,Pneumonia due to Streptococcus Group A,ID_004.2,Group A Streptococcus,01,Infections
391.2,ICD9CM,Acute rheumatic myocarditis,ID_004.2,Group A Streptococcus,01,Infections
391.8,ICD9CM,Other acute rheumatic heart disease,ID_004.2,Group A Streptococcus,01,Infections
391.9,ICD9CM,"Acute rheumatic heart disease, unspecified",ID_004.2,Group A Streptococcus,01,Infections
391,ICD9CM,Rheumatic fever with heart involvement,ID_004.2,Group A Streptococcus,01,Infections
390,ICD9CM,Rheumatic fever without mention of heart involvement,ID_004.2,Group A Streptococcus,01,Infections
391.1,ICD9CM,Acute rheumatic endocarditis,ID_004.2,Group A Streptococcus,01,Infections
391.0,ICD9CM,Acute rheumatic pericarditis,ID_004.2,Group A Streptococcus,01,Infections
482.32,ICD9CM,Pneumonia due to Streptococcus Group B,ID_004.3,Group B Streptococcus,01,Infections
041.02,ICD9CM,Group B Streptococcus infection in conditions classified elsewhere and of unspecified site,ID_004.3,Group B Streptococcus,01,Infections
034.1,ICD9CM,Scarlet fever,ID_004.4,Scarlet fever,01,Infections
031,ICD9CM,Diseases due to other mycobacteria,ID_005,Mycobacteria,01,Infections
031.2,ICD9CM,Disseminated due to other mycobacteria,ID_005,Mycobacteria,01,Infections
031.9,ICD9CM,Unspecified diseases due to mycobacteria,ID_005,Mycobacteria,01,Infections
031.8,ICD9CM,Other specified mycobacterial diseases,ID_005,Mycobacteria,01,Infections
031.0,ICD9CM,Pulmonary diseases due to other mycobacteria,ID_005,Mycobacteria,01,Infections
031.1,ICD9CM,Cutaneous diseases due to other mycobacteria,ID_005,Mycobacteria,01,Infections
013.45,ICD9CM,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.32,ICD9CM,"Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.33,ICD9CM,"Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.34,ICD9CM,"Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.35,ICD9CM,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.36,ICD9CM,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.4,ICD9CM,Tuberculoma of spinal cord,ID_005.1,Mycobacterium tuberculosis,01,Infections
013.40,ICD9CM,"Tuberculoma of spinal cord, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.41,ICD9CM,"Tuberculoma of spinal cord, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.5,ICD9CM,Tuberculous abscess of spinal cord,ID_005.1,Mycobacterium tuberculosis,01,Infections
013.42,ICD9CM,"Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.46,ICD9CM,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.43,ICD9CM,"Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.44,ICD9CM,"Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.55,ICD9CM,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.62,ICD9CM,"Tuberculous encephalitis or myelitis, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.63,ICD9CM,"Tuberculous encephalitis or myelitis, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.65,ICD9CM,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.66,ICD9CM,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.8,ICD9CM,Other specified tuberculosis of central nervous system,ID_005.1,Mycobacterium tuberculosis,01,Infections
013.80,ICD9CM,"Other specified tuberculosis of central nervous system, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.81,ICD9CM,"Other specified tuberculosis of central nervous system, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.82,ICD9CM,"Other specified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.61,ICD9CM,"Tuberculous encephalitis or myelitis, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.60,ICD9CM,"Tuberculous encephalitis or myelitis, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.50,ICD9CM,"Tuberculous abscess of spinal cord, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.83,ICD9CM,"Other specified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.51,ICD9CM,"Tuberculous abscess of spinal cord, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.52,ICD9CM,"Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.53,ICD9CM,"Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.54,ICD9CM,"Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.56,ICD9CM,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.6,ICD9CM,Tuberculous encephalitis or myelitis,ID_005.1,Mycobacterium tuberculosis,01,Infections
013.84,ICD9CM,"Other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.31,ICD9CM,"Tuberculous abscess of brain, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.30,ICD9CM,"Tuberculous abscess of brain, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.05,ICD9CM,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.04,ICD9CM,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.03,ICD9CM,"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.02,ICD9CM,"Tuberculous meningitis, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.01,ICD9CM,"Tuberculous meningitis, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.00,ICD9CM,Tuberculous meningitis unspecified examination,ID_005.1,Mycobacterium tuberculosis,01,Infections
013.0,ICD9CM,Tuberculous meningitis,ID_005.1,Mycobacterium tuberculosis,01,Infections
013,ICD9CM,Tuberculosis of meninges and central nervous system,ID_005.1,Mycobacterium tuberculosis,01,Infections
012.86,ICD9CM,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
012.85,ICD9CM,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
012.84,ICD9CM,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
012.83,ICD9CM,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
012.82,ICD9CM,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
012.81,ICD9CM,"Other specified respiratory tuberculosis, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
012.80,ICD9CM,"Other specified respiratory tuberculosis, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
012.8,ICD9CM,Other specified respiratory tuberculosis,ID_005.1,Mycobacterium tuberculosis,01,Infections
013.06,ICD9CM,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.1,ICD9CM,Tuberculoma of meninges,ID_005.1,Mycobacterium tuberculosis,01,Infections
013.3,ICD9CM,Tuberculous abscess of brain,ID_005.1,Mycobacterium tuberculosis,01,Infections
013.26,ICD9CM,"Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.25,ICD9CM,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.24,ICD9CM,"Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.23,ICD9CM,"Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.22,ICD9CM,"Tuberculoma of brain, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.21,ICD9CM,"Tuberculoma of brain, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.20,ICD9CM,"Tuberculoma of brain, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.2,ICD9CM,Tuberculoma of brain,ID_005.1,Mycobacterium tuberculosis,01,Infections
013.16,ICD9CM,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.15,ICD9CM,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.14,ICD9CM,"Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.13,ICD9CM,"Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.12,ICD9CM,"Tuberculoma of meninges, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.11,ICD9CM,"Tuberculoma of meninges, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.10,ICD9CM,"Tuberculoma of meninges, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
012.36,ICD9CM,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.85,ICD9CM,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.95,ICD9CM,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.72,ICD9CM,"Tuberculosis of other specified bone, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.71,ICD9CM,"Tuberculosis of other specified bone, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.70,ICD9CM,"Tuberculosis of other specified bone, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.7,ICD9CM,Tuberculosis of other specified bone,ID_005.1,Mycobacterium tuberculosis,01,Infections
015.66,ICD9CM,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.65,ICD9CM,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.64,ICD9CM,"Tuberculosis of mastoid, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.63,ICD9CM,"Tuberculosis of mastoid, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.62,ICD9CM,"Tuberculosis of mastoid, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.61,ICD9CM,"Tuberculosis of mastoid, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.60,ICD9CM,"Tuberculosis of mastoid, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.6,ICD9CM,Tuberculosis of mastoid,ID_005.1,Mycobacterium tuberculosis,01,Infections
015.56,ICD9CM,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.55,ICD9CM,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.54,ICD9CM,"Tuberculosis of limb bones, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.53,ICD9CM,"Tuberculosis of limb bones, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.73,ICD9CM,"Tuberculosis of other specified bone, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.74,ICD9CM,"Tuberculosis of other specified bone, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.94,ICD9CM,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.93,ICD9CM,"Tuberculosis of unspecified bones and joints, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.92,ICD9CM,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.91,ICD9CM,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.90,ICD9CM,"Tuberculosis of unspecified bones and joints, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.9,ICD9CM,Tuberculosis of unspecified bones and joints,ID_005.1,Mycobacterium tuberculosis,01,Infections
015.86,ICD9CM,"Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.85,ICD9CM,"Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.84,ICD9CM,"Tuberculosis of other specified joint, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.83,ICD9CM,"Tuberculosis of other specified joint, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.82,ICD9CM,"Tuberculosis of other specified joint, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.81,ICD9CM,"Tuberculosis of other specified joint, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.80,ICD9CM,"Tuberculosis of other specified joint, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.8,ICD9CM,Tuberculosis of other specified joint,ID_005.1,Mycobacterium tuberculosis,01,Infections
015.76,ICD9CM,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.75,ICD9CM,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.52,ICD9CM,"Tuberculosis of limb bones, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.51,ICD9CM,"Tuberculosis of limb bones, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.50,ICD9CM,"Tuberculosis of limb bones, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.05,ICD9CM,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.04,ICD9CM,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.03,ICD9CM,"Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.02,ICD9CM,"Tuberculosis of vertebral column, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.01,ICD9CM,"Tuberculosis of vertebral column, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.00,ICD9CM,Tuberculosis of vertebral column unspecified examination,ID_005.1,Mycobacterium tuberculosis,01,Infections
015.0,ICD9CM,Tuberculosis of vertebral column,ID_005.1,Mycobacterium tuberculosis,01,Infections
015,ICD9CM,Tuberculosis of bones and joints,ID_005.1,Mycobacterium tuberculosis,01,Infections
013.96,ICD9CM,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.95,ICD9CM,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.94,ICD9CM,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.93,ICD9CM,"Unspecified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.92,ICD9CM,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.91,ICD9CM,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination not done",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.90,ICD9CM,"Unspecified tuberculosis of central nervous system, unspecified examination",ID_005.1,Mycobacterium tuberculosis,01,Infections
013.9,ICD9CM,Unspecified tuberculosis of central nervous system,ID_005.1,Mycobacterium tuberculosis,01,Infections
015.06,ICD9CM,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.1,ICD9CM,Tuberculosis of hip,ID_005.1,Mycobacterium tuberculosis,01,Infections
015.5,ICD9CM,Tuberculosis of limb bones,ID_005.1,Mycobacterium tuberculosis,01,Infections
015.26,ICD9CM,"Tuberculosis of knee, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",ID_005.1,Mycobacterium tuberculosis,01,Infections
015.25,ICD9CM,"Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",ID_005.1,Mycobacterium tuberculosis,01,Infections
