ICD10,ICD10 String,old_PheCode,Phenotype,Excl. Phecodes,Excl. Phenotypes,sex,pregnancy_related,category,category_string,PheCode
A53.9,"Syphilis, unspecified",090,Sexually transmitted infections (not HIV or hepatitis),090-092.99,Sexually transmitted infections (not hiv or hepatitis),,0.0,1.0,infectious diseases,ID_089.1
A54.3,Gonococcal infection of eye,090.2,Gonococcal infections,090-092.99,Sexually transmitted infections (not hiv or hepatitis),Both,0.0,1.0,infectious diseases,ID_089.1
A54.4,Gonococcal infection of musculoskeletal system,090.2,Gonococcal infections,090-092.99,Sexually transmitted infections (not hiv or hepatitis),Both,0.0,1.0,infectious diseases,ID_089.1
A56.0,Chlamydial infection of lower genitourinary tract,090.3,Venereal diseases due to Chlamydia trachomatis,090-092.99,Sexually transmitted infections (not hiv or hepatitis),Both,0.0,1.0,infectious diseases,ID_089.1
A58,Granuloma inguinale,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99,Sexually transmitted infections (not hiv or hepatitis),,0.0,1.0,infectious diseases,ID_089.1
A59.0,Urogenital trichomoniasis,131,Protozoan infection,130-136.99,Other infections; including parasitic,Both,0.0,1.0,infectious diseases,ID_088
A63.8,Other specified predominantly sexually transmitted diseases,090,Sexually transmitted infections (not HIV or hepatitis),090-092.99,Sexually transmitted infections (not hiv or hepatitis),,0.0,1.0,infectious diseases,ID_088
A65,Nonvenereal syphilis,130,Spirochetal infection,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_089.1
A66.0,Initial lesions of yaws,130,Spirochetal infection,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_089.1
A66.2,Other early skin lesions of yaws,130,Spirochetal infection,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_089.1
A66.8,Latent yaws,130,Spirochetal infection,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_089.1
A67.0,Primary lesions of pinta,130,Spirochetal infection,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_089.1
A67.1,Intermediate lesions of pinta,130,Spirochetal infection,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_089.1
A68.0,Louse-borne relapsing fever,130,Spirochetal infection,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_089.1
A74,Other diseases caused by chlamydiae,079,Viral infection,050-079.99,Viral infection,,0.0,1.0,infectious diseases,ID_089.1
A77.2,Spotted fever due to Rickettsia sibirica,136,Other infectious and parasitic diseases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_089.1
A77.8,Other spotted fevers,136,Other infectious and parasitic diseases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_089.1
A80,Acute poliomyelitis,324,Other CNS infection and poliomyelitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,,0.0,6.0,neurological,ID_089.2
A80.1,"Acute paralytic poliomyelitis, wild virus, imported",324,Other CNS infection and poliomyelitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,,0.0,6.0,neurological,ID_089.2
A80.3,"Acute paralytic poliomyelitis, other and unspecified",324,Other CNS infection and poliomyelitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,,0.0,6.0,neurological,ID_089.2
A81.8,Other atypical virus infections of central nervous system,324,Other CNS infection and poliomyelitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,,0.0,6.0,neurological,NS_322
A85,"Other viral encephalitis, not elsewhere classified",323,Encephalitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,,0.0,6.0,neurological,NS_321.12
A85.1,Adenoviral encephalitis,323,Encephalitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,,0.0,6.0,neurological,NS_321.12
A92.4,Rift Valley fever,079,Viral infection,050-079.99,Viral infection,,0.0,1.0,infectious diseases,ID_089.2
A92.8,Other specified mosquito-borne viral fevers,079,Viral infection,050-079.99,Viral infection,,0.0,1.0,infectious diseases,ID_089.2
A96.8,Other arenaviral haemorrhagic fevers,079,Viral infection,050-079.99,Viral infection,,0.0,1.0,infectious diseases,ID_089.2
A96.9,"Arenaviral haemorrhagic fever, unspecified",079,Viral infection,050-079.99,Viral infection,,0.0,1.0,infectious diseases,ID_089.2
A98.8,Other specified viral haemorrhagic fevers,079,Viral infection,050-079.99,Viral infection,,0.0,1.0,infectious diseases,ID_089.2
B00.1,Herpesviral vesicular dermatitis,054,Herpes simplex,050-079.99,Viral infection,,0.0,1.0,infectious diseases,ID_089.2
B16.1,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,070.2,Viral hepatitis B,050-079.99,Viral infection,Both,0.0,1.0,infectious diseases,GI_540.3
B18.8,Other chronic viral hepatitis,070,Viral hepatitis,050-079.99,Viral infection,Both,0.0,1.0,infectious diseases,GI_540.3
B19.0,Unspecified viral hepatitis with hepatic coma,070,Viral hepatitis,050-079.99,Viral infection,Both,0.0,1.0,infectious diseases,GI_540.3
B20.1,HIV disease resulting in other bacterial infections,071.1,"HIV infection, symptomatic",050-079.99,Viral infection,Both,0.0,1.0,infectious diseases,ID_089.2
B20.7,HIV disease resulting in multiple infections,136,Other infectious and parasitic diseases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_089.2
B22.7,HIV disease resulting in multiple diseases classified elsewhere,071.1,"HIV infection, symptomatic",050-079.99,Viral infection,Both,0.0,1.0,infectious diseases,ID_089.2
B26.0,Mumps orchitis,079,Viral infection,050-079.99,Viral infection,,0.0,1.0,infectious diseases,GU_603.5
B27.0,Gammaherpesviral mononucleosis,079.2,Infectious mononucleosis,050-079.99,Viral infection,Both,0.0,1.0,infectious diseases,ID_089.2
B33.0,Epidemic myalgia,079,Viral infection,050-079.99,Viral infection,,0.0,1.0,infectious diseases,ID_089.2
B33.3,"Retrovirus infections, not elsewhere classified",079,Viral infection,050-079.99,Viral infection,,0.0,1.0,infectious diseases,ID_089.2
B35,Dermatophytosis,110.1,Dermatophytosis,110-118.99,Mycoses,Both,0.0,1.0,infectious diseases,DE_660.12
B35.5,Tinea imbricata,110.13,Dermatophytosis of the body,110-118.99,Mycoses,Both,0.0,1.0,infectious diseases,DE_660.124
B36.1,Tinea nigra,110.2,Dermatomycoses,110-118.99,Mycoses,Both,0.0,1.0,infectious diseases,DE_660.1
B40.3,Cutaneous blastomycosis,117.3,Blastomycotic infection,110-118.99,Mycoses,Both,0.0,1.0,infectious diseases,DE_660.1
B40.8,Other forms of blastomycosis,117.3,Blastomycotic infection,110-118.99,Mycoses,Both,0.0,1.0,infectious diseases,ID_089.3
B41.0,Pulmonary paracoccidioidomycosis,117.3,Blastomycotic infection,110-118.99,Mycoses,Both,0.0,1.0,infectious diseases,ID_089.3
B44,Aspergillosis,117.4,Aspergillosis,110-118.99,Mycoses,Both,0.0,1.0,infectious diseases,ID_089.3
B44.2,Tonsillar aspergillosis,117.4,Aspergillosis,110-118.99,Mycoses,Both,0.0,1.0,infectious diseases,RE_466.1
B45.1,Cerebral cryptococcosis,320,Meningitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,,0.0,6.0,neurological,NS_320.13
B45.3,Osseous cryptococcosis,117,Mycoses,110-118.99,Mycoses,,0.0,1.0,infectious diseases,ID_089.3
B45.8,Other forms of cryptococcosis,117,Mycoses,110-118.99,Mycoses,,0.0,1.0,infectious diseases,ID_089.3
B45.9,"Cryptococcosis, unspecified",117,Mycoses,110-118.99,Mycoses,,0.0,1.0,infectious diseases,ID_089.3
B46.4,Disseminated mucormycosis,117,Mycoses,110-118.99,Mycoses,,0.0,1.0,infectious diseases,ID_089.3
B47.0,Eumycetoma,117,Mycoses,110-118.99,Mycoses,,0.0,1.0,infectious diseases,ID_089.3
B47.9,"Mycetoma, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
B48.0,Lobomycosis,117.3,Blastomycotic infection,110-118.99,Mycoses,Both,0.0,1.0,infectious diseases,ID_089.3
B52.0,Plasmodium malariae malaria with nephropathy,133,Arthropod-borne diseases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,GU_581.5
B55.1,Cutaneous leishmaniasis,133,Arthropod-borne diseases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084.32
B55.9,"Leishmaniasis, unspecified",133,Arthropod-borne diseases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084.3
B56,African trypanosomiasis,133,Arthropod-borne diseases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084
B56.0,Gambiense trypanosomiasis,133,Arthropod-borne diseases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084
B56.9,"African trypanosomiasis, unspecified",133,Arthropod-borne diseases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084
B57.0,Acute Chagas disease with heart involvement,133,Arthropod-borne diseases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084
B57.3,Chagas disease (chronic) with digestive system involvement,133,Arthropod-borne diseases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084
B58.3,Pulmonary toxoplasmosis,480,Pneumonia,480-488.99,Pneumonia and influenza,,0.0,9.0,respiratory,ID_084.5
B60.1,Acanthamoebiasis,136,Other infectious and parasitic diseases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084
B65,Schistosomiasis [bilharziasis],134,Helminthiases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084
B65.1,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis],134,Helminthiases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084
B65.9,"Schistosomiasis, unspecified",134,Helminthiases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084
B67.0,Echinococcus granulosus infection of liver,134.1,Intestinal helminthiases,130-136.99,Other infections; including parasitic,Both,0.0,1.0,infectious diseases,ID_084
B67.9,"Echinococcosis, other and unspecified",134.1,Intestinal helminthiases,130-136.99,Other infections; including parasitic,Both,0.0,1.0,infectious diseases,ID_084
B70,Diphyllobothriasis and sparganosis,134.1,Intestinal helminthiases,130-136.99,Other infections; including parasitic,Both,0.0,1.0,infectious diseases,ID_084
B70.1,Sparganosis,134.1,Intestinal helminthiases,130-136.99,Other infections; including parasitic,Both,0.0,1.0,infectious diseases,ID_084
B71.0,Hymenolepiasis,134.1,Intestinal helminthiases,130-136.99,Other infections; including parasitic,Both,0.0,1.0,infectious diseases,ID_084
B71.9,"Cestode infection, unspecified",134.1,Intestinal helminthiases,130-136.99,Other infections; including parasitic,Both,0.0,1.0,infectious diseases,ID_084
B76.1,Necatoriasis,134,Helminthiases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084
B78.1,Cutaneous strongyloidiasis,686,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,Both,0.0,13.0,dermatologic,ID_084
B78.7,Disseminated strongyloidiasis,134.1,Intestinal helminthiases,130-136.99,Other infections; including parasitic,Both,0.0,1.0,infectious diseases,ID_084
B82.9,"Intestinal parasitism, unspecified",134,Helminthiases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084
B83.9,"Helminthiasis, unspecified",134,Helminthiases,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_084
B87,Myiasis,132,"Infestation (lice, mites)",130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases,ID_086
B90.2,Sequelae of tuberculosis of bones and joints,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_005.1
B94.0,Sequelae of trachoma,369,Infection of the eye,369-374.99,infection/inflammation of eye,,0.0,7.0,sense organs,SO_379
B95.4,Other streptococcus as the cause of diseases classified to other chapters,041.2,Streptococcus infection,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases,ID_089.1
B96.2,Escherichia coli [E. coli] as the cause of diseases classified to other chapters,041.4,E. coli,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases,ID_089.1
B96.4,Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
B96.5,Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases,ID_089.1
B97.1,Enterovirus as the cause of diseases classified to other chapters,079,Viral infection,050-079.99,Viral infection,,0.0,1.0,infectious diseases,ID_089.2
C00.6,Malignant neoplasm: Commissure of lip,145.1,Cancer of lip,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C02.1,Malignant neoplasm: Border of tongue,145.2,Cancer of tongue,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C02.4,Malignant neoplasm: Lingual tonsil,145.2,Cancer of tongue,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C02.8,Malignant neoplasm: Overlapping lesion of tongue,145.2,Cancer of tongue,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C05.0,Malignant neoplasm: Hard palate,145,Cancer of mouth,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C06.0,Malignant neoplasm: Cheek mucosa,145,Cancer of mouth,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C06.2,Malignant neoplasm: Retromolar area,145,Cancer of mouth,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C09.0,Malignant neoplasm: Tonsillar fossa,149.1,Cancer of oropharynx,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C09.1,Malignant neoplasm: Tonsillar pillar (anterior)(posterior),149.1,Cancer of oropharynx,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C10.9,"Malignant neoplasm: Oropharynx, unspecified",149.1,Cancer of oropharynx,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C11.1,Malignant neoplasm: Posterior wall of nasopharynx,149.2,Cancer of nasopharynx,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C11.3,Malignant neoplasm: Anterior wall of nasopharynx,149.2,Cancer of nasopharynx,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C13.0,Malignant neoplasm: Postcricoid region,149.3,Cancer of hypopharynx,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C15.4,Malignant neoplasm: Middle third of oesophagus,150,Cancer of esophagus,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,,0.0,2.0,neoplasms,CA_130
C16.9,"Malignant neoplasm: Stomach, unspecified",151,Cancer of stomach,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,,0.0,2.0,neoplasms,CA_130
C18.5,Malignant neoplasm: Splenic flexure,153.2,Colon cancer,"150-159.99, 208-208.99",GI cancer; benign neoplasms of colon,Both,0.0,2.0,neoplasms,CA_130
C18.6,Malignant neoplasm: Descending colon,153.2,Colon cancer,"150-159.99, 208-208.99",GI cancer; benign neoplasms of colon,Both,0.0,2.0,neoplasms,CA_130
C18.9,"Malignant neoplasm: Colon, unspecified",153.2,Colon cancer,"150-159.99, 208-208.99",GI cancer; benign neoplasms of colon,Both,0.0,2.0,neoplasms,CA_130
C21.8,"Malignant neoplasm: Overlapping lesion of rectum, anus and anal canal",153,Colorectal cancer,"150-159.99, 208-208.99",GI cancer; benign neoplasms of colon,Both,0.0,2.0,neoplasms,CA_130
C22.3,Malignant neoplasm: Angiosarcoma of liver,155.1,"Malignant neoplasm of liver, primary","140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,Both,0.0,2.0,neoplasms,CA_130
C22.4,Malignant neoplasm: Other sarcomas of liver,155.1,"Malignant neoplasm of liver, primary","140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,Both,0.0,2.0,neoplasms,CA_130
C22.7,Malignant neoplasm: Other specified carcinomas of liver,155.1,"Malignant neoplasm of liver, primary","140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,Both,0.0,2.0,neoplasms,CA_130
C22.9,"Malignant neoplasm: Liver, unspecified",155,Cancer of liver and intrahepatic bile duct,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,,0.0,2.0,neoplasms,CA_130
C25.9,"Malignant neoplasm: Pancreas, unspecified",157,Pancreatic cancer,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,,0.0,2.0,neoplasms,CA_130
C32,Malignant neoplasm of larynx,149.4,Cancer of larynx,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C32.1,Malignant neoplasm: Supraglottis,149.4,Cancer of larynx,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx",Both,0.0,2.0,neoplasms,CA_130
C34,Malignant neoplasm of bronchus and lung,165.1,Cancer of bronchus; lung,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs,Both,0.0,2.0,neoplasms,CA_130
C37,Malignant neoplasm of thymus,164,Cancer of intrathoracic organs,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs,,0.0,2.0,neoplasms,CA_130
C38.4,Malignant neoplasm: Pleura,165,Cancer within the respiratory system,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs,,0.0,2.0,neoplasms,CA_130
C39.8,Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs,165,Cancer within the respiratory system,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs,,0.0,2.0,neoplasms,CA_130
C40,Malignant neoplasm of bone and articular cartilage of limbs,170.1,Bone cancer,170-171.99,"Cancer of bone, connective tissue",Both,0.0,2.0,neoplasms,CA_130
C40.2,Malignant neoplasm: Long bones of lower limb,170.1,Bone cancer,170-171.99,"Cancer of bone, connective tissue",Both,0.0,2.0,neoplasms,CA_130
C40.8,Malignant neoplasm: Overlapping lesion of bone and articular cartilage of limbs,170.1,Bone cancer,170-171.99,"Cancer of bone, connective tissue",Both,0.0,2.0,neoplasms,CA_130
C41.9,"Malignant neoplasm: Bone and articular cartilage, unspecified",170.1,Bone cancer,170-171.99,"Cancer of bone, connective tissue",Both,0.0,2.0,neoplasms,CA_130
C43.0,Malignant neoplasm: Malignant melanoma of lip,172.11,Melanomas of skin,172-173.99,Malignant neoplasm of skin,Both,0.0,2.0,neoplasms,CA_130
C44.3,Malignant neoplasm: Skin of other and unspecified parts of face,172.2,Other non-epithelial cancer of skin,172-173.99,Malignant neoplasm of skin,Both,0.0,2.0,neoplasms,CA_103
C45.1,Mesothelioma of peritoneum,159.4,Malignant neoplasm of retroperitoneum and peritoneum,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,Both,0.0,2.0,neoplasms,CA_130
C46.2,Kaposi sarcoma of palate,230,Kaposi's sarcoma,230-230.99,Kaposi's sarcoma,,0.0,2.0,neoplasms,CA_104.6
C47.3,Malignant neoplasm: Peripheral nerves of thorax,170.2,Cancer of connective tissue,170-171.99,"Cancer of bone, connective tissue",Both,0.0,2.0,neoplasms,CA_130
C47.5,Malignant neoplasm: Peripheral nerves of pelvis,170.2,Cancer of connective tissue,170-171.99,"Cancer of bone, connective tissue",Both,0.0,2.0,neoplasms,CA_130
C48.1,Malignant neoplasm: Specified parts of peritoneum,159.4,Malignant neoplasm of retroperitoneum and peritoneum,"140-159.99, 210-211.99",cancer/benign neoplasm of gi tract,Both,0.0,2.0,neoplasms,CA_130
C49,Malignant neoplasm of other connective and soft tissue,170.2,Cancer of connective tissue,170-171.99,"Cancer of bone, connective tissue",Both,0.0,2.0,neoplasms,CA_130
C49.5,Malignant neoplasm: Connective and soft tissue of pelvis,170.2,Cancer of connective tissue,170-171.99,"Cancer of bone, connective tissue",Both,0.0,2.0,neoplasms,CA_130
C49.6,"Malignant neoplasm: Connective and soft tissue of trunk, unspecified",170.2,Cancer of connective tissue,170-171.99,"Cancer of bone, connective tissue",Both,0.0,2.0,neoplasms,CA_130
C49.8,Malignant neoplasm: Overlapping lesion of connective and soft tissue,170.2,Cancer of connective tissue,170-171.99,"Cancer of bone, connective tissue",Both,0.0,2.0,neoplasms,CA_130
C50.2,Malignant neoplasm: Upper-inner quadrant of breast,174.11,Malignant neoplasm of female breast,"174-184.99, 610-610.99",cancer of female genital organs; breast dysplasia,Female,0.0,2.0,neoplasms,CA_130
C51.9,"Malignant neoplasm: Vulva, unspecified",184.2,"Cancer of other female genital organs, excluding uterus and ovary","174-184.99, 220-221.99",cancer of female genital organs; benign neoplasm of female genital organs,Female,0.0,2.0,neoplasms,CA_130
C54.1,Malignant neoplasm: Endometrium,182,Malignant neoplasm of uterus,"174-184.99, 218-218.99",cancer of female genital organs; benign neoplasm of uterus,Female,0.0,2.0,neoplasms,CA_130
